"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 05 19:15:30 BRT 2022","Tue Jul 05 19:15:45 BRT 2022","14951","","Financeiro.Sacados.Sacados","","Financeiro.Sacados.Sacados","LogRegistro","LogRegistro",""
"passed","Tue Jul 05 19:25:19 BRT 2022","Tue Jul 05 19:25:34 BRT 2022","14439","","Financeiro.TabelaDePrecoServicos.TabelaDePrecoServicos","","Financeiro.TabelaDePrecoServicos.TabelaDePrecoServicos","NovoTabelaDePrecoServicos","NovoTabelaDePrecoServicos",""
"passed","Tue Jul 05 19:29:48 BRT 2022","Tue Jul 05 19:30:04 BRT 2022","15568","","Financeiro.CadastrosBasicos.CadastrosBasicos","","Financeiro.CadastrosBasicos.CadastrosBasicos","NovoTiposDeDocumento","NovoTiposDeDocumento",""
"passed","Tue Jul 05 19:24:51 BRT 2022","Tue Jul 05 19:25:07 BRT 2022","16022","","Financeiro.IndiceseMoedas.IndiceseMoedas","","Financeiro.IndiceseMoedas.IndiceseMoedas","PeriodoDeSuspensao","PeriodoDeSuspensao",""
"passed","Tue Jul 05 19:18:59 BRT 2022","Tue Jul 05 19:19:12 BRT 2022","13013","","Financeiro.ConciliacaoBancaria.ConciliacaoBancaria","","Financeiro.ConciliacaoBancaria.ConciliacaoBancaria","ConsultaExtratosBancarios","ConsultaExtratosBancarios",""
"passed","Tue Jul 05 19:11:28 BRT 2022","Tue Jul 05 19:11:42 BRT 2022","13719","","Financeiro.ContasAReceber.ContasReceber","","Financeiro.ContasAReceber.ContasReceber","AcrescimoseDescontos","AcrescimoseDescontos",""
"passed","Tue Jul 05 19:20:37 BRT 2022","Tue Jul 05 19:20:55 BRT 2022","17992","","Financeiro.Cobranca.Cobranca","","Financeiro.Cobranca.Cobranca","ConsultarHistoricosDeContatos","ConsultarHistoricosDeContatos",""
"passed","Tue Jul 05 19:15:13 BRT 2022","Tue Jul 05 19:15:26 BRT 2022","12562","","Financeiro.PagamentoAutomatizado.PagamentoAutomatizado","","Financeiro.PagamentoAutomatizado.PagamentoAutomatizado","NovoRegistroPagementoAutomatizado","NovoRegistroPagementoAutomatizado",""
"passed","Tue Jul 05 19:16:51 BRT 2022","Tue Jul 05 19:17:03 BRT 2022","11683","","Financeiro.BorderosDeRecebimento.BorderosDeRecebimento","","Financeiro.BorderosDeRecebimento.BorderosDeRecebimento","NovoRegistroItens","NovoRegistroItens",""
"passed","Tue Jul 05 19:31:21 BRT 2022","Tue Jul 05 19:31:38 BRT 2022","16756","","Financeiro.FluxoDeCaixa.FluxoDeCaixa","","Financeiro.FluxoDeCaixa.FluxoDeCaixa","ConsultaFluxoDeCaixa","ConsultaFluxoDeCaixa",""
"passed","Tue Jul 05 19:16:28 BRT 2022","Tue Jul 05 19:16:39 BRT 2022","10663","","Financeiro.DividaAtiva.DividaAtiva","","Financeiro.DividaAtiva.DividaAtiva","ConsultaDividaAtiva","ConsultaDividaAtiva",""
"passed","Tue Jul 05 19:18:59 BRT 2022","Tue Jul 05 19:19:13 BRT 2022","13422","","Financeiro.ConciliacaoBancaria.ConciliacaoBancaria","","Financeiro.ConciliacaoBancaria.ConciliacaoBancaria","NovoRegistroExtratosBancarios","NovoRegistroExtratosBancarios",""
"passed","Tue Jul 05 19:21:22 BRT 2022","Tue Jul 05 19:21:36 BRT 2022","13688","","Financeiro.HistoricoDeContatos.HistoricoDeContatos","","Financeiro.HistoricoDeContatos.HistoricoDeContatos","Documentos","Documentos",""
"passed","Tue Jul 05 19:22:55 BRT 2022","Tue Jul 05 19:23:07 BRT 2022","12144","","Financeiro.InformacoesBancarias.InformacoesBancarias","","Financeiro.InformacoesBancarias.InformacoesBancarias","NovoContaBancaria","NovoContaBancaria",""
"passed","Tue Jul 05 19:31:05 BRT 2022","Tue Jul 05 19:31:21 BRT 2022","15787","","Financeiro.CadastrosBasicos.CadastrosBasicos","","Financeiro.CadastrosBasicos.CadastrosBasicos","ConsultaHistoricos","ConsultaHistoricos",""
"passed","Tue Jul 05 19:31:56 BRT 2022","Tue Jul 05 19:32:16 BRT 2022","19351","","Financeiro.DocumentosFiscais.DocumentosFiscais","","Financeiro.DocumentosFiscais.DocumentosFiscais","DocumentosGED","DocumentosGED",""
